,name,neighborhood,property_type,room_type,amenities,price
0,Perfect Portland Place,Goose Hollow,Entire condominium (condo),Entire home/apt,"[""Portable fans"", ""Washer \u2013\u00a0In building"", ""Restored vintage console connected to Alexa. And Bose WiFi stereo with Aux and Airplay.  sound system with Bluetooth and aux"", ""Ethernet connection"", ""TRESemm\u00e9 Moisture Rich shampoo"", ""Pour-over coffee"", ""Coffee maker"", ""Portable air conditioning"", ""Elevator"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Clothing storage: walk-in closet"", ""TRESemm\u00e9 Moisture Rich conditioner"", ""Kitchen"", ""Microwave"", ""Stainless steel oven"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Shared garden or backyard"", ""First aid kit"", ""Carbon monoxide alarm"", ""Hangers"", ""Wine glasses"", ""40\"" HDTV with Apple TV, Roku, Chromecast"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Dryer \u2013 In building"", ""Private entrance"", ""Stainless steel gas stove"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Stainless Steel refrigerator"", ""Toaster"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Radiant heating"", ""Baking sheet"", ""Fire extinguisher""]",104.0
1,Free Standing Alley House with Garage,Sullivan's Gulch,Entire cottage,Entire home/apt,"[""Portable fans"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Cleaning products"", ""Outdoor furniture"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Free parking on premises"", ""Toaster"", ""Room-darkening shades"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Fire extinguisher"", ""Patio or balcony""]",90.0
2,Maple Cottage PDX/ Fun Historic Mississippi Ave.,Boise,Entire guesthouse,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Toaster"", ""Freezer"", ""Dining table"", ""Dishwasher"", ""Baking sheet"", ""Fire extinguisher"", ""Patio or balcony""]",79.0
3,Rosie Room at Farmhouse Cottage,Marshall Park,Private room in residential home,Private room,"[""Indoor fireplace"", ""Shampoo"", ""Essentials"", ""TV"", ""Smoke alarm"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""Wifi"", ""Breakfast"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Heating"", ""Cooking basics"", ""Hot tub"", ""Fire extinguisher"", ""First aid kit""]",85.0
4,Captain's Bed at SW PDX Cottage,Marshall Park,Private room in cottage,Private room,"[""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""Hot tub"", ""First aid kit"", ""Indoor fireplace"", ""Crib"", ""Shampoo"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Breakfast"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Oven"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",85.0
5,Near OHSU. Green Room!,Hillsdale,Private room in residential home,Private room,"[""Ethernet connection"", ""Coffee maker"", ""Dedicated workspace"", ""Clothing storage: dresser and closet"", ""Iron"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""GE Convection Oven + Microwave oven"", ""Carbon monoxide alarm"", ""Hangers"", ""Safe"", ""Wifi"", ""GE refrigerator"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Outdoor furniture"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Washer"", ""Bathtub"", ""Free parking on premises"", ""Toaster"", ""Freezer"", ""Bed linens"", ""Lock on bedroom door"", ""Dishwasher"", ""Dining table"", ""Baking sheet"", ""Outdoor dining area"", ""Rice maker"", ""Cleaning before checkout"", ""Patio or balcony""]",65.0
6,Inn Off Hawthorne,Sunnyside,Entire residential home,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Luggage dropoff allowed"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Fire extinguisher""]",115.0
7,The Best Neighborhood in the City!,King,Entire residential home,Entire home/apt,"[""Outlet covers"", ""Portable fans"", ""Children\u2019s books and toys"", ""Pour-over coffee"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Barbecue utensils"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Clothing storage: dresser, closet, and walk-in closet"", ""Dishes and silverware"", ""BBQ grill"", ""First aid kit"", ""Carbon monoxide alarm"", ""Crib"", ""Shampoo"", ""Refrigerator"", ""Private fenced garden or backyard"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""EV charger"", ""Long term stays allowed"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""High chair"", ""Gas stove"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""Oven"", ""Free parking on premises"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Freezer"", ""Toaster"", ""Bed linens"", ""Central heating"", ""Dishwasher"", ""Dining table"", ""Children\u2019s dinnerware"", ""Baking sheet"", ""Outdoor dining area"", ""Rice maker"", ""Fire extinguisher""]",116.0
8,Modern condo in heart of Downtown,Portland Downtown,Entire condominium (condo),Entire home/apt,"[""Coffee maker"", ""Elevator"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Cable TV"", ""Smart lock"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Paid parking off premises"", ""Fire extinguisher""]",82.0
9,~..++ Sweet N. Portland Loft ++.._~,Humboldt,Entire loft,Entire home/apt,"[""Shampoo"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Washer"", ""Free parking on premises"", ""Air conditioning"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",190.0
